COUNTYNAME,TOWNNAME,TOWNCODE,AREA,POPULARITY,人口密度
高雄市,鳳山區,64000120,26.76 ,355175.00 ,13273.10 
高雄市,林園區,64000130,32.29 ,67903.00 ,2103.17 
高雄市,大寮區,64000140,71.04 ,112213.00 ,1579.57 
高雄市,大樹區,64000150,66.98 ,40163.00 ,599.62 
高雄市,大社區,64000160,26.58 ,33754.00 ,1269.67 
高雄市,仁武區,64000170,36.08 ,98956.00 ,2742.62 
高雄市,鳥松區,64000180,24.59 ,44233.00 ,1798.62 
高雄市,岡山區,64000190,47.94 ,95176.00 ,1985.23 
高雄市,橋頭區,64000200,25.94 ,42671.00 ,1645.12 
高雄市,燕巢區,64000210,65.40 ,28576.00 ,436.98 
高雄市,田寮區,64000220,92.68 ,6298.00 ,67.95 
高雄市,阿蓮區,64000230,34.62 ,27131.00 ,783.76 
高雄市,路竹區,64000240,48.43 ,49715.00 ,1026.43 
高雄市,湖內區,64000250,20.16 ,29396.00 ,1458.03 
高雄市,茄萣區,64000260,15.76 ,28959.00 ,1837.22 
高雄市,永安區,64000270,22.61 ,13823.00 ,611.26 
高雄市,彌陀區,64000280,14.78 ,18069.00 ,1222.76 
高雄市,梓官區,64000290,11.60 ,34792.00 ,3000.16 
高雄市,旗山區,64000300,94.61 ,33818.00 ,357.44 
高雄市,美濃區,64000310,120.03 ,36545.00 ,304.46 
高雄市,六龜區,64000320,194.16 ,11511.00 ,59.29 
高雄市,甲仙區,64000330,124.03 ,5412.00 ,43.63 
高雄市,杉林區,64000340,104.00 ,10714.00 ,103.02 
高雄市,內門區,64000350,95.62 ,12893.00 ,134.83 
高雄市,茂林區,64000360,194.00 ,1869.00 ,9.63 
高雄市,桃源區,64000370,928.98 ,4190.00 ,4.51 
高雄市,那瑪夏區,64000380,252.99 ,3132.00 ,12.38 
宜蘭縣,宜蘭市,10002010,29.41 ,94890.00 ,3226.67 
宜蘭縣,羅東鎮,10002020,11.34 ,69638.00 ,6138.32 
宜蘭縣,蘇澳鎮,10002030,89.02 ,36882.00 ,414.31 
宜蘭縣,頭城鎮,10002040,100.89 ,27982.00 ,277.34 
宜蘭縣,礁溪鄉,10002050,101.43 ,35399.00 ,349.01 
宜蘭縣,壯圍鄉,10002060,38.48 ,24469.00 ,635.94 
宜蘭縣,員山鄉,10002070,111.91 ,31986.00 ,285.82 
宜蘭縣,冬山鄉,10002080,79.86 ,53117.00 ,665.15 
宜蘭縣,五結鄉,10002090,38.87 ,41600.00 ,1070.31 
宜蘭縣,三星鄉,10002100,144.22 ,21179.00 ,146.85 
宜蘭縣,大同鄉,10002110,657.54 ,5980.00 ,9.09 
宜蘭縣,南澳鄉,10002120,740.65 ,6090.00 ,8.22 
新竹縣,竹北市,10004010,46.83 ,219605.00 ,4689.00 
新竹縣,關西鎮,10004020,125.52 ,26388.00 ,210.23 
新竹縣,新埔鎮,10004030,72.19 ,33464.00 ,463.55 
新竹縣,竹東鎮,10004040,53.51 ,97733.00 ,1826.33 
新竹縣,湖口鄉,10004050,58.43 ,83748.00 ,1433.30 
新竹縣,橫山鄉,10004060,66.35 ,11990.00 ,180.71 
新竹縣,新豐鄉,10004070,46.35 ,59336.00 ,1280.18 
新竹縣,芎林鄉,10004080,40.79 ,20404.00 ,500.27 
新竹縣,寶山鄉,10004090,64.79 ,14534.00 ,224.33 
新竹縣,北埔鄉,10004100,50.67 ,8396.00 ,165.71 
新竹縣,峨眉鄉,10004110,46.80 ,5081.00 ,108.57 
新竹縣,尖石鄉,10004120,527.58 ,9523.00 ,18.05 
